Nome,Código,Força,Velocidade,Inteligência,Poderes,Curiosidade1,Curiosidade2,Curiosidade3,SuperTrunfo
Ares,4E,92,87,88,91,Deus da guerra relacionado com a brutalidade e o derramamento de sangue representava o aspecto mais violento da guerra,Nao era muito adorado pelo outros deuses ,Principal deus adorado em Esparta por causa da personalidade e do apreço à guerra,False 
Deméter,5E,74,79,87,76,Deusa da agricultura e a responsavel pelo crescimento dos grãos,Seu nome no grego antigo significa Deusa Mãe,Divide a posição de patrona da agricultura com sua filha Perséfone,False 
Dionísio,6E,92,81,85,95,"Deus do vinho, das festas da alegria e do teatro filho de Zeus e Sêmele",Por causa de um ataque de Hera a mãe de Dionísio morreu quando estava gravida de 6 meses ainda Zeus o conseguiu salvar curou ele e o gerou o resto do tempo em sua propria coxa Por isso é dito que Dionisio nasceu da coxa de Zeus,Era um semideus por causa da sua mãe e foi o unico caso de um semideus que passou a ser um deus e ainda foi aceito no Monte Olimpo como um dos 12 grande,False 
Hermes,7E,82,100,93,81,Deus da velocidade e do comércio protegia os viajantes magicos e adivinhos,Patrono dos ladrões dos malandros e trapaceiros,Quando nasceu fugiu do berço e roubou 50 novilhas de seu irmão Apolo,False 
Artemis,8E,83,98,83,85,Deusa da caça da Lua das castidade do parto e dos animais selvagens,Patrona dos caçadores e cuidava das mulheres gravidas cuidar de doenças femininas e proteger as crianças e o jovens ,Escolheu se manter virgem e por isso nao teve filhos nem se casou ,False 
Apolo,1F,91,89,94,91,Irmão gemeo de Artemis é deus do Sol patrono da luz da musica de medicina das artes da profecia e outros,Foi atribuido o titulo de deus da beleza por causa de beleza nata mas não detinha esse poder,Criou a flor de louros por causa de um amante que morreu tragicamente ,False 
Hefesto,2F,99,60,71,87,Deus dos ferreiros dos artesãos dos escultores da metalurgia das armas do fogo e na mitoloia romana tambem era deus do vulcão,Por causa de uma punição de Zeus acabou ficando deformado e coxo quando foi lançado do alto do Olimpo,Se casou com Afrodite mas ela o traia com Ares e montou uma armadilha para punir os dois,False 
Afrodite,3F,81,76,88,86,Deusa do amor da beleza do desejo e da fertilidade considerada a deus mais bela entre as divindades gregas ,Na versão de Hesíoso quando cronos castrou o pai e jogou o orgão no oceano surgiu uma espuma e Afrodite nasceu dela,Na versão de Homero Afrodite nasceu de Zeus com a titânide Dione na ilha de Creta ,False 
Hestia,4F,81,78,88,85,Deusa do lar da lareira da vida domestica e da hospitalidade,Seu dever é manter o fogo sagrado do Monte Olimpo seguro,Era uma deusa bondosa que ajudava a manter a paz entre as pessoas da familia e ensinava as pessoas a construir suas casas,False 
Reia,5F,81,79,89,89,É a mãe dos deuses casado com Cronos e teve o plano de esconder Zeus de seu marido e o escondeu numa caverna no Monte Ida em Creta para crescer e enfrentar Cronos,Depois de esconder Zeus ela fugiu de Cronos e ficou escondida em varios lugares na Asia,Seus simbolos sao a Biga e o Leao ,False 
Mmemosine,6F,83,78,89,94,Faz parte dos 12 titãs é e a deusa da memoria e da lembrança,Mãe das 9 musas com Zeus,Era uma das divindades cultuadas no culto de Asclepio,False 
Temis,7F,86,93,94,89,Deusa da consciencia coletiva e da ordem social da lei espiritual divina paz justiça divina e mais algumas coisas,Ja foi esposa e conselheira de Zeus,É mãe das Horas que são Irene(paz) Dice(justiça) Eunomia(disciplina) Suas filhas são uma extensão dos seus atributos,False 
Tetis,8F,77,76,88,79,É uma titanie e deusa antiga mãe das Oceânides,Ja foi uma das esposas de Zeus,Durante a guerra entre titãs e os deuses olímpicos cuidou de Hera e foi recompensada por isso no final,False 
Thor,1N,99,80,67,97,Considerado o deus nordico mais forte deus do trovão e filho de Odin,Uma vez para recuperar seu martelo roubado (mjolnir) se disfaçou de Freya e quase se casou com o rei dos gigantes de gelo,Em uma disputa com um feiticeiro bebeu em um gole uma quantidade tao grande do mar que ele abaixou em um dedo,False 
Odin,2N,91,78,99,95,Deus nordico da sabedoria e pai dos deuses,Para alcançar a sabedoria maxima sacrificou um olho e ficou nove dias enforcado e sendo flagelado pelo vento na Yggdrasil,Tem dois corvos que contam tudo que eles vêem e ouvem em todos os 9 mundos Por isso Odin tem informação do mundo todo,False 
Loki,3N,75,84,95,90,Meio gigante e meio deus pai da mentiras e das trapaças na mitologia Loki é irmao jurado de Odin,Por causa da sua interferencia os ferreiros que faziam o martelo de Thor cometeram um erro e fizeram o cabo curto,Tem um filho cavalo de oito pernas Sleipnir dito como o cavalo mais rapido dos 9 reinos que podia andar sobre a terra a água e o ar,False 
Balder,4N,92,84,87,94,Deus nordico da justiça e sabedoria filho de Odin,Era tão querido por todos que sua mãe Frigga conseguiu fazer quase todos os elementos do mundo jurarem nunca ferir Balder,Por causa de Loki Balder foi morto por um minusculo musgo que foi o unico elemento que não jurou nada pois Frigga o achou inofensivo ,False 
Frigga,5N,70,76,92,85,Deusa nordica da fertilidade do amor e da união considerada deusa-mãe,Tinha o dom de prever o futuro mas não eram visões exatas então não revelava elas para outros,Esposa de Odin e filha da gigante Fjorgynn,False 
Sif,6N,87,93,94,89,Deusa das batalhas e habilidade em combate mas existem aqueles que dizem que existe informação insuficiente para determinar isso,Esposa de Thor era conhecida por seu belo cabelo longo e loiro,Loki um dia raspou o seu cabelo e por temer Thor Loki acabou arrumando um cabelo magico para Sif,False 
Frey,7N,91,84,81,85,Deus nordico do cla dos Vanes representado como belo e deus da prosperidade boas colheitas e da agricultura,Possui uma espada magica que é capaz de lutar sozinha,Irmão de Freya,False 
Jormungandr,8N,98,69,66,81,Tambem conhecida como Serpente de Midgard filho de Loki ,Tão grande que consegue dar a volta o mundo pelo tamanho,Sua força rivalizava com a de Thor no Ragnarok na luta entre os dois Thor mata a serpente mas morre pelo veneno que ela solta depois quando o corpo atinge o chão,False 
